Id,IsActive,Pricebook2Id,UnitPrice,Product2Id,Pricebook2.Name,Product2.Name
01u8q000000YSyvAAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSRAA0,Standard Price Book,Non Award Module
01u8q000000YSywAAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSSAA0,Standard Price Book,Award Unit
01u8q000000YSyxAAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSTAA0,Standard Price Book,Activity
01u8q000000YSyyAAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSUAA0,Standard Price Book,Professional Advantage
01u8q000000YSyzAAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSVAA0,Standard Price Book,Individual Coaching
01u8q000000YSz0AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSWAA0,Standard Price Book,Group Coaching
01u8q000000YSz1AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSXAA0,Standard Price Book,Diagnostic Tools
01u8q000000YSz2AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSYAA0,Standard Price Book,Mentoring
01u8q000000YSz3AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSZAA0,Standard Price Book,Educational Consultancy
01u8q000000YSz4AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSaAAK,Standard Price Book,High Impact Projects
01u8q000000YSz5AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSbAAK,Standard Price Book,Content Development
01u8q000000YSz6AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjScAAK,Standard Price Book,Evaluation
01u8q000000YSz7AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSdAAK,Standard Price Book,Venue
01u8q000000YSz8AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSeAAK,Standard Price Book,Catering
01u8q000000YSz9AAG,true,01s5g0000014NeIAAU,500,01t8q000000EjSfAAK,Standard Price Book,Other
01u9r00000041kFAAQ,true,01s5g0000014NeIAAU,500,01t9r000000211fAAA,Standard Price Book,Prescribed Program Plan
01u9r00000041kHAAQ,true,01s5g0000014NeIAAU,500,01t9r000000211gAAA,Standard Price Book,Flexible Program Plan
01u9r00000041kJAAQ,true,01s5g0000014NeIAAU,500,01t9r000000211dAAA,Standard Price Book,Single Course
01u9r00000041kLAAQ,true,01s5g0000014NeIAAU,500,01t9r000000211eAAA,Standard Price Book,Workshop
01u8q000000YSzAAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSRAA0,Custom Corporate Products & Services,Non Award Module
01u8q000000YSzBAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSSAA0,Custom Corporate Products & Services,Award Unit
01u8q000000YSzCAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSTAA0,Custom Corporate Products & Services,Activity
01u8q000000YSzDAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSUAA0,Custom Corporate Products & Services,Professional Advantage
01u8q000000YSzEAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSVAA0,Custom Corporate Products & Services,Individual Coaching
01u8q000000YSzFAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSWAA0,Custom Corporate Products & Services,Group Coaching
01u8q000000YSzGAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSXAA0,Custom Corporate Products & Services,Diagnostic Tools
01u8q000000YSzHAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSYAA0,Custom Corporate Products & Services,Mentoring
01u8q000000YSzIAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSZAA0,Custom Corporate Products & Services,Educational Consultancy
01u8q000000YSzJAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSaAAK,Custom Corporate Products & Services,High Impact Projects
01u8q000000YSzKAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSbAAK,Custom Corporate Products & Services,Content Development
01u8q000000YSzLAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjScAAK,Custom Corporate Products & Services,Evaluation
01u8q000000YSzMAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSdAAK,Custom Corporate Products & Services,Venue
01u8q000000YSzNAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSeAAK,Custom Corporate Products & Services,Catering
01u8q000000YSzOAAW,true,01s8q0000000IzhAAE,500,01t8q000000EjSfAAK,Custom Corporate Products & Services,Other
01u9r00000041kGAAQ,true,01s8q0000000IzhAAE,300,01t9r000000211fAAA,Custom Corporate Products & Services,Prescribed Program Plan
01u9r00000041kIAAQ,true,01s8q0000000IzhAAE,300,01t9r000000211gAAA,Custom Corporate Products & Services,Flexible Program Plan
01u9r00000041kKAAQ,true,01s8q0000000IzhAAE,300,01t9r000000211dAAA,Custom Corporate Products & Services,Single Course
